@relation 'TDR.weka-weka.filters.unsupervised.attribute.Remove-R5,7-8,24'

@attribute Season numeric
@attribute team numeric
@attribute pts.RS numeric
@attribute pts.opp.RS numeric
@attribute fgm.RS numeric
@attribute fgm2.RS numeric
@attribute fga2.RS numeric
@attribute fg2.per.RS numeric
@attribute fgm3.RS numeric
@attribute fga3.RS numeric
@attribute fg3.per.RS numeric
@attribute ftm.RS numeric
@attribute fta.RS numeric
@attribute ft.per.RS numeric
@attribute or.RS numeric
@attribute dr.RS numeric
@attribute tr.RS numeric
@attribute ast.RS numeric
@attribute to.RS numeric
@attribute stl.RS numeric
@attribute pf.RS numeric
@attribute wperc.RS numeric
@attribute lperc.RS numeric
@attribute region.TS {Y,Z,W,X}
@attribute seed.num.TS numeric
@attribute champ.TS {L,W}

@data
2003,1104,69.285714,65,24.035714,17.678571,37.321429,0.471197,6.357143,19.857143,0.325442,14.857143,20.928571,0.705168,13.571429,23.928571,37.5,12.107143,13.285714,6.607143,18.035714,0.607143,0.392857,Y,10,L
2003,1112,85.214286,70.25,30.321429,23.285714,45.642857,0.512661,7.035714,20.071429,0.35106,17.535714,25,0.701154,15.178571,27.642857,42.821429,17.642857,14.785714,8.464286,17.75,0.892857,0.107143,Z,1,L
2003,1113,75.965517,69.172414,27.206897,23.206897,44.310345,0.525368,4,12.586207,0.328376,17.551724,26.206897,0.675667,13.689655,23.310345,37,15.551724,14,5.206897,19.413793,0.62069,0.37931,Z,10,L
2003,1120,70.1,65.566667,25.7,20.066667,38.366667,0.519392,5.633333,16.333333,0.355662,13.066667,19.733333,0.652663,11.933333,22.566667,34.5,13.4,15.9,8.033333,16.366667,0.633333,0.366667,W,10,L
2003,1122,69.703704,67.703704,23.555556,17.555556,34.888889,0.504862,6,17.185185,0.353542,16.592593,24,0.682295,10.62963,24.222222,34.851852,13.407407,15.222222,7.037037,18.666667,0.740741,0.259259,W,13,L
2003,1139,68.586207,60.931034,24.068966,15.586207,28.793103,0.539869,8.482759,21.862069,0.390722,11.965517,16.551724,0.715225,7.827586,20.37931,28.206897,12.965517,10.413793,6.344828,16.068966,0.827586,0.172414,W,12,L
2003,1140,72.451613,63.677419,24.032258,17.83871,35.129032,0.510838,6.193548,16.129032,0.380937,18.193548,24.16129,0.753253,10.870968,24.419355,35.290323,13.419355,13.741935,6.935484,21.419355,0.741935,0.258065,X,12,L
2003,1141,79.344828,73.241379,26.62069,19.793103,34.758621,0.573384,6.827586,17.931034,0.377481,19.275862,25.172414,0.762741,10.586207,23.275862,33.862069,15.62069,18.241379,7.103448,20.965517,0.793103,0.206897,Z,11,L
2003,1143,74.482759,69.758621,27.344828,20.931034,41.689655,0.501936,6.413793,17.034483,0.375934,13.37931,19.517241,0.688632,11.241379,24.37931,35.62069,16,14.172414,6.551724,17.103448,0.724138,0.275862,W,8,L
2003,1153,67.321429,61.5,22.892857,16.214286,37.178571,0.434852,6.678571,19.5,0.352482,14.857143,21.535714,0.685618,12.142857,23.392857,35.535714,12.285714,10.607143,5.178571,18.964286,0.607143,0.392857,Z,8,L
