@relation 'TDR.weka-weka.filters.unsupervised.attribute.Remove-R1-4,7-27'

@attribute pt.diff.RS numeric
@attribute fgm.RS numeric
@attribute region.TS {Y,Z,W,X}
@attribute seed.num.TS numeric
@attribute champ.TS {L,W}

@data
4.285714,24.035714,Y,10,L
14.964286,30.321429,Z,1,L
6.793103,27.206897,Z,10,L
4.533333,25.7,W,10,L
2,23.555556,W,13,L
7.655172,24.068966,W,12,L
8.774194,24.032258,X,12,L
6.103448,26.62069,Z,11,L
4.724138,27.344828,W,8,L
5.821429,22.892857,Z,8,L
5.451613,27.193548,X,10,L
1.333333,26.4,Z,14,L
8.633333,29.533333,X,5,L
14.909091,28.69697,Z,6,L
6.482759,24.482759,Y,4,L
11.566667,27.366667,Z,3,L
2.222222,28.074074,W,15,L
11.225806,26.935484,X,2,L
8.870968,26.064516,Z,9,L
11.137931,24.206897,Y,14,L
14.033333,27.1,Z,4,L
3.53125,23.4375,Y,7,L
0.84375,24.4375,Y,16,L
14.966667,30.233333,Z,2,L
13.4375,28.46875,Y,1,L
13.366667,27.966667,W,4,L
10.322581,26.806452,X,8,L
8.413793,25.931034,W,14,L
10.714286,27.214286,Y,3,L
13.928571,29.428571,X,6,L
8.689655,26.275862,Z,7,L
6.258065,23.032258,X,7,L
10,26.333333,W,5,L
5.290323,26.16129,Y,6,L
4.4,24.333333,W,9,L
8.903226,27.225806,Z,5,L
11,25.266667,W,1,L
6.517241,24.655172,W,6,L
8.25,28.59375,Y,8,L
10.777778,24,W,11,L
15.766667,26.866667,Y,2,L
6.5,23.75,X,9,L
1.533333,24.8,W,16,L
6.433333,27.366667,Y,11,L
6.518519,24.296296,X,15,L
3.107143,25.214286,X,13,L
11.344828,24.241379,W,7,L
5.290323,25.645161,X,4,L
10.206897,29.241379,W,3,W
10.178571,28,X,1,L
8.8,28.233333,X,14,L
8.258065,26.387097,Y,13,L
1.966667,24.733333,X,16,L
-7.241379,24.37931,X,16,L
11.766667,26.033333,X,11,L
6.733333,23.166667,Y,9,L
5.866667,23.7,Z,15,L
4.655172,24.827586,Z,16,L
6.677419,25.709677,Z,13,L
4.096774,27.225806,Y,15,L
10.793103,26.137931,W,2,L
7.034483,24.62069,Y,12,L
7.166667,27.266667,Z,12,L
12.034483,25.034483,Y,5,L
12.266667,26.8,X,3,L
9.75,20.285714,W,11,L
4.758621,24.896552,X,8,L
0.833333,20.566667,W,16,L
9.103448,31.517241,W,9,L
5,24.25,Z,6,L
6.814815,25.185185,X,12,L
7.896552,27.137931,Y,9,L
14,27.033333,W,4,L
15.151515,30.121212,X,2,W
3.875,23.53125,X,10,L
3.2,25.633333,X,7,L
14.78125,27.5625,W,1,L
1.892857,24.75,Y,15,L
7.689655,28.344828,W,13,L
7.833333,26.933333,Y,5,L
-1.866667,23.066667,Z,16,L
10.78125,27.4375,Z,3,L
16.413793,29.034483,Z,2,L
7.483871,25.483871,Z,13,L
9.733333,26.633333,W,5,L
6.678571,26.928571,Z,4,L
10.333333,26.666667,Z,1,L
2.178571,22.75,Z,16,L
1.741935,24.709677,Y,16,L
12.37931,24.551724,W,10,L
10.896552,24.37931,Y,12,L
5.6,28.066667,X,4,L
7.642857,24.75,Y,7,L
4.103448,25,Z,7,L
10.821429,27.357143,W,2,L
1.875,22.9375,W,15,L
11.4,29.533333,W,12,L
8.137931,24.655172,X,3,L
9.333333,26.766667,Z,10,L
7.607143,29.642857,W,6,L
3.965517,23.310345,Z,14,L
14.310345,28.896552,Y,2,L
5.366667,23.2,Z,12,L
12.78125,25.71875,Y,3,L
5.692308,22.346154,W,14,L
7.178571,24.785714,Z,5,L
5.53125,22.25,Y,11,L
8.37931,26.310345,X,9,L
7.821429,26.107143,W,8,L
8.151515,25.181818,Y,10,L
16.285714,27.178571,Y,1,L
13.233333,26.533333,X,1,L
6.107143,27.678571,X,5,L
10.733333,27.6,W,3,L
6.96875,27.125,Y,8,L
7.551724,27.551724,Z,9,L
8.310345,25.517241,Y,14,L
6.384615,27.192308,X,14,L
-0.214286,24.285714,X,16,L
7.290323,23.322581,Z,11,L
8.241379,25.655172,X,13,L
7.233333,26.066667,Y,13,L
0.827586,24.758621,Z,15,L
9.1,25.733333,X,6,L
4.3,23.833333,X,15,L
13.266667,27.433333,X,11,L
8.178571,28.5,Y,4,L
3.2,28.5,Z,8,L
11.966667,23.733333,Y,6,L
8.060606,24.545455,W,7,L
10.6,25.366667,X,5,L
1.275862,23.655172,Z,16,L
10.121212,29.121212,X,3,L
8.107143,25.535714,X,4,L
5.129032,21.258065,Z,14,L
6.285714,26.428571,Z,7,L
2.888889,24.481481,W,15,L
12,25.548387,Y,7,L
11.862069,27.965517,Z,2,L
6.545455,24.30303,W,10,L
0.5625,20.25,Y,16,L
13.966667,26.533333,Y,1,L
2.888889,26.259259,Y,15,L
3.258065,27.064516,X,16,L
14.133333,26.766667,Z,4,L
10.310345,27.724138,W,12,L
8.266667,26.7,W,5,L
9.896552,27.586207,W,3,L
17.30303,28.151515,X,1,L
6.1875,25.65625,Y,10,L
4.241379,25.241379,Z,9,L
10.206897,26.931034,Z,3,L
