@relation 'TDR.weka-weka.filters.unsupervised.attribute.Remove-R1-2,4,7,10-18,21-23,25,28'

@attribute pts.RS numeric
@attribute pt.diff.RS numeric
@attribute fgm.RS numeric
@attribute fg.per.RS numeric
@attribute fgm2.RS numeric
@attribute dr.RS numeric
@attribute tr.RS numeric
@attribute blk.RS numeric
@attribute wperc.RS numeric
@attribute lperc.RS numeric
@attribute seed.num.TS numeric
@attribute champ.TS {L,W}

@data
69.285714,4.285714,24.035714,0.419676,17.678571,23.928571,37.5,3.785714,0.607143,0.392857,10,L
85.214286,14.964286,30.321429,0.463563,23.285714,27.642857,42.821429,4.214286,0.892857,0.107143,1,L
75.965517,6.793103,27.206897,0.48168,23.206897,23.310345,37,4.241379,0.62069,0.37931,10,L
70.1,4.533333,25.7,0.470055,20.066667,22.566667,34.5,4.966667,0.633333,0.366667,10,L
69.703704,2,23.555556,0.45681,17.555556,24.222222,34.851852,4.666667,0.740741,0.259259,13,L
68.586207,7.655172,24.068966,0.477729,15.586207,20.37931,28.206897,1.862069,0.827586,0.172414,12,L
72.451613,8.774194,24.032258,0.471152,17.83871,24.419355,35.290323,2.516129,0.741935,0.258065,12,L
79.344828,6.103448,26.62069,0.506349,19.793103,23.275862,33.862069,4,0.793103,0.206897,11,L
74.482759,4.724138,27.344828,0.468741,20.931034,24.37931,35.62069,2.793103,0.724138,0.275862,8,L
67.321429,5.821429,22.892857,0.405768,16.214286,23.392857,35.535714,4.25,0.607143,0.392857,8,L
75.516129,5.451613,27.193548,0.44598,22.225806,27.967742,42.451613,6.645161,0.645161,0.354839,10,L
74,1.333333,26.4,0.507893,22.2,23.466667,34.266667,4.233333,0.566667,0.433333,14,L
80.033333,8.633333,29.533333,0.474887,23.466667,27.9,42.666667,7.733333,0.7,0.3,5,L
79.242424,14.909091,28.69697,0.498309,20.727273,23.181818,34.060606,4.454545,0.878788,0.121212,6,L
72.793103,6.482759,24.482759,0.452408,16.965517,23.172414,36.655172,2.931034,0.827586,0.172414,4,L
81.966667,11.566667,27.366667,0.45956,20.033333,23.1,36.866667,5.133333,0.8,0.2,3,L
79.703704,2.222222,28.074074,0.458726,22.851852,24.037037,38.037037,5.259259,0.62963,0.37037,15,L
75.903226,11.225806,26.935484,0.477676,18.258065,24.258065,35.064516,4.096774,0.774194,0.225806,2,L
77.064516,8.870968,26.064516,0.470751,18.903226,25.322581,37.258065,3.516129,0.741935,0.258065,9,L
69.344828,11.137931,24.206897,0.459454,18.896552,24.310345,36.37931,4.482759,0.862069,0.137931,14,L
75.433333,14.033333,27.1,0.484964,19.666667,25.4,35.133333,3.1,0.8,0.2,4,L
70.53125,3.53125,23.4375,0.430732,15.90625,25.625,36.84375,5.34375,0.625,0.375,7,L
71.25,0.84375,24.4375,0.457406,17.9375,20.90625,32.59375,1.8125,0.59375,0.40625,16,L
81.333333,14.966667,30.233333,0.487333,25.433333,26.9,41.2,4.9,0.766667,0.233333,2,L
77.53125,13.4375,28.46875,0.48713,22.5625,24.15625,37.03125,5.09375,0.90625,0.09375,1,L
81.833333,13.366667,27.966667,0.459027,19.533333,25.1,38.3,4.733333,0.8,0.2,4,L
73.225806,10.322581,26.806452,0.488312,20.064516,24.516129,35.129032,4.16129,0.677419,0.322581,8,L
76.172414,8.413793,25.931034,0.45302,20.413793,23.310345,34.62069,3.896552,0.793103,0.206897,14,L
78.392857,10.714286,27.214286,0.484675,21.428571,24.071429,37.178571,3.642857,0.821429,0.178571,3,L
80.785714,13.928571,29.428571,0.465428,22.678571,26.75,40.5,6.607143,0.678571,0.321429,6,L
74.517241,8.689655,26.275862,0.439457,19.275862,25.965517,40.034483,5.068966,0.793103,0.206897,7,L
67.225806,6.258065,23.032258,0.454235,18.129032,24.258065,34.935484,3.709677,0.612903,0.387097,7,L
70.166667,10,26.333333,0.471577,20.766667,24.6,37.266667,3.733333,0.7,0.3,5,L
71.774194,5.290323,26.16129,0.443487,18.677419,25.903226,39.387097,4.322581,0.677419,0.322581,6,L
72.4,4.4,24.333333,0.458507,16.366667,22.033333,31.766667,3.066667,0.6,0.4,9,L
80.096774,8.903226,27.225806,0.450986,18.935484,26.870968,38.258065,5.645161,0.709677,0.290323,5,L
71.166667,11,25.266667,0.446221,17.8,24.966667,37.1,3.766667,0.8,0.2,1,L
68.724138,6.517241,24.655172,0.444293,19.793103,24.068966,36.448276,5.586207,0.689655,0.310345,6,L
82.21875,8.25,28.59375,0.461913,19.59375,24.5,35.875,2.78125,0.71875,0.28125,8,L
70.185185,10.777778,24,0.468621,15,24.185185,33.518519,2.148148,0.814815,0.185185,11,L
74.6,15.766667,26.866667,0.502072,20.5,25.366667,36.666667,4.1,0.866667,0.133333,2,L
71.75,6.5,23.75,0.434995,18.642857,23.464286,33.857143,2.928571,0.642857,0.357143,9,L
72.8,1.533333,24.8,0.459472,19.633333,24.266667,37.233333,2.9,0.666667,0.333333,16,L
74.533333,6.433333,27.366667,0.473261,21.266667,22.466667,33.3,3.2,0.8,0.2,11,L
71.777778,6.518519,24.296296,0.458982,17.814815,25.962963,36.740741,5.592593,0.777778,0.222222,15,L
74.678571,3.107143,25.214286,0.473291,18.285714,26.357143,37.892857,3.428571,0.607143,0.392857,13,L
70.62069,11.344828,24.241379,0.446645,16.206897,24.137931,35.310345,5.551724,0.793103,0.206897,7,L
72.258065,5.290323,25.645161,0.445385,18.709677,25.129032,38.870968,3.354839,0.741935,0.258065,4,L
80.103448,10.206897,29.241379,0.472113,24,26.896552,41.206897,7.275862,0.827586,0.172414,3,W
78.857143,10.178571,28,0.44894,22.142857,26.142857,42.321429,3.857143,0.785714,0.214286,1,L
79.366667,8.8,28.233333,0.434233,18.766667,24.7,39.766667,5.2,0.833333,0.166667,14,L
73.516129,8.258065,26.387097,0.461992,19.741935,25.806452,36.967742,5,0.709677,0.290323,13,L
72.8,1.966667,24.733333,0.448892,18.8,24.8,37.966667,2.233333,0.6,0.4,16,L
71.206897,-7.241379,24.37931,0.432768,17.896552,23.172414,35.448276,3,0.448276,0.551724,16,L
71.366667,11.766667,26.033333,0.46438,19.266667,23.133333,33.1,1.9,0.8,0.2,11,L
66.733333,6.733333,23.166667,0.458498,16,23.2,33.333333,3.766667,0.766667,0.233333,9,L
65.966667,5.866667,23.7,0.456286,19.666667,22.366667,35,2,0.733333,0.266667,15,L
67.793103,4.655172,24.827586,0.446372,19.551724,25.724138,38.689655,2.965517,0.655172,0.344828,16,L
73.096774,6.677419,25.709677,0.464621,18,23.258065,35.419355,3.548387,0.741935,0.258065,13,L
75.548387,4.096774,27.225806,0.476116,20.193548,22.354839,34.354839,2.806452,0.677419,0.322581,15,L
78.413793,10.793103,26.137931,0.457965,20.034483,26.931034,41.689655,4.37931,0.827586,0.172414,2,L
74.206897,7.034483,24.62069,0.466512,18.517241,22.758621,33.103448,0.655172,0.862069,0.137931,12,L
77.1,7.166667,27.266667,0.474309,19.5,23,34.533333,3.6,0.766667,0.233333,12,L
70.724138,12.034483,25.034483,0.466216,18.793103,22.551724,32.862069,2.827586,0.758621,0.241379,5,L
78.233333,12.266667,26.8,0.452949,20.366667,25.5,39.433333,3.033333,0.833333,0.166667,3,L
60.178571,9.75,20.285714,0.484678,11.821429,15.357143,21.5,2.357143,0.785714,0.214286,11,L
72.206897,4.758621,24.896552,0.452082,17.758621,24,35.310345,3.103448,0.586207,0.413793,8,L
61.433333,0.833333,20.566667,0.425273,15.033333,22.766667,34.466667,3.133333,0.533333,0.466667,16,L
87.517241,9.103448,31.517241,0.485092,24.137931,25.689655,39.586207,4.551724,0.689655,0.310345,9,L
68.75,5,24.25,0.456601,20.5,23.71875,36.53125,3.03125,0.71875,0.28125,6,L
72.185185,6.814815,25.185185,0.487879,19.814815,23.444444,33.407407,3.259259,0.703704,0.296296,12,L
79.344828,7.896552,27.137931,0.44805,19.344828,26.172414,40.931034,2.965517,0.724138,0.275862,9,L
76.9,14,27.033333,0.457112,19.8,24.133333,37.266667,5.066667,0.8,0.2,4,L
79.090909,15.151515,30.121212,0.480538,23.727273,29.484848,44.787879,8.727273,0.818182,0.181818,2,W
