@relation 'TDR.weka-weka.filters.unsupervised.attribute.Remove-R1-4,7-25'

@attribute pt.diff.RS numeric
@attribute fgm.RS numeric
@attribute wperc.RS numeric
@attribute lperc.RS numeric
@attribute region.TS {Y,Z,W,X}
@attribute seed.num.TS numeric
@attribute champ.TS {L,W}

@data
4.285714,24.035714,0.607143,0.392857,Y,10,L
14.964286,30.321429,0.892857,0.107143,Z,1,L
6.793103,27.206897,0.62069,0.37931,Z,10,L
4.533333,25.7,0.633333,0.366667,W,10,L
2,23.555556,0.740741,0.259259,W,13,L
7.655172,24.068966,0.827586,0.172414,W,12,L
8.774194,24.032258,0.741935,0.258065,X,12,L
6.103448,26.62069,0.793103,0.206897,Z,11,L
4.724138,27.344828,0.724138,0.275862,W,8,L
5.821429,22.892857,0.607143,0.392857,Z,8,L
5.451613,27.193548,0.645161,0.354839,X,10,L
1.333333,26.4,0.566667,0.433333,Z,14,L
8.633333,29.533333,0.7,0.3,X,5,L
14.909091,28.69697,0.878788,0.121212,Z,6,L
6.482759,24.482759,0.827586,0.172414,Y,4,L
11.566667,27.366667,0.8,0.2,Z,3,L
2.222222,28.074074,0.62963,0.37037,W,15,L
11.225806,26.935484,0.774194,0.225806,X,2,L
8.870968,26.064516,0.741935,0.258065,Z,9,L
11.137931,24.206897,0.862069,0.137931,Y,14,L
14.033333,27.1,0.8,0.2,Z,4,L
3.53125,23.4375,0.625,0.375,Y,7,L
0.84375,24.4375,0.59375,0.40625,Y,16,L
14.966667,30.233333,0.766667,0.233333,Z,2,L
13.4375,28.46875,0.90625,0.09375,Y,1,L
13.366667,27.966667,0.8,0.2,W,4,L
10.322581,26.806452,0.677419,0.322581,X,8,L
8.413793,25.931034,0.793103,0.206897,W,14,L
10.714286,27.214286,0.821429,0.178571,Y,3,L
13.928571,29.428571,0.678571,0.321429,X,6,L
8.689655,26.275862,0.793103,0.206897,Z,7,L
6.258065,23.032258,0.612903,0.387097,X,7,L
10,26.333333,0.7,0.3,W,5,L
5.290323,26.16129,0.677419,0.322581,Y,6,L
4.4,24.333333,0.6,0.4,W,9,L
8.903226,27.225806,0.709677,0.290323,Z,5,L
11,25.266667,0.8,0.2,W,1,L
6.517241,24.655172,0.689655,0.310345,W,6,L
8.25,28.59375,0.71875,0.28125,Y,8,L
10.777778,24,0.814815,0.185185,W,11,L
15.766667,26.866667,0.866667,0.133333,Y,2,L
6.5,23.75,0.642857,0.357143,X,9,L
1.533333,24.8,0.666667,0.333333,W,16,L
6.433333,27.366667,0.8,0.2,Y,11,L
6.518519,24.296296,0.777778,0.222222,X,15,L
3.107143,25.214286,0.607143,0.392857,X,13,L
11.344828,24.241379,0.793103,0.206897,W,7,L
5.290323,25.645161,0.741935,0.258065,X,4,L
10.206897,29.241379,0.827586,0.172414,W,3,W
10.178571,28,0.785714,0.214286,X,1,L
8.8,28.233333,0.833333,0.166667,X,14,L
8.258065,26.387097,0.709677,0.290323,Y,13,L
1.966667,24.733333,0.6,0.4,X,16,L
-7.241379,24.37931,0.448276,0.551724,X,16,L
11.766667,26.033333,0.8,0.2,X,11,L
6.733333,23.166667,0.766667,0.233333,Y,9,L
5.866667,23.7,0.733333,0.266667,Z,15,L
4.655172,24.827586,0.655172,0.344828,Z,16,L
6.677419,25.709677,0.741935,0.258065,Z,13,L
4.096774,27.225806,0.677419,0.322581,Y,15,L
10.793103,26.137931,0.827586,0.172414,W,2,L
7.034483,24.62069,0.862069,0.137931,Y,12,L
7.166667,27.266667,0.766667,0.233333,Z,12,L
12.034483,25.034483,0.758621,0.241379,Y,5,L
12.266667,26.8,0.833333,0.166667,X,3,L
9.75,20.285714,0.785714,0.214286,W,11,L
4.758621,24.896552,0.586207,0.413793,X,8,L
0.833333,20.566667,0.533333,0.466667,W,16,L
9.103448,31.517241,0.689655,0.310345,W,9,L
5,24.25,0.71875,0.28125,Z,6,L
6.814815,25.185185,0.703704,0.296296,X,12,L
7.896552,27.137931,0.724138,0.275862,Y,9,L
14,27.033333,0.8,0.2,W,4,L
15.151515,30.121212,0.818182,0.181818,X,2,W
3.875,23.53125,0.75,0.25,X,10,L
3.2,25.633333,0.7,0.3,X,7,L
14.78125,27.5625,0.84375,0.15625,W,1,L
1.892857,24.75,0.571429,0.428571,Y,15,L
7.689655,28.344828,0.827586,0.172414,W,13,L
7.833333,26.933333,0.666667,0.333333,Y,5,L
-1.866667,23.066667,0.466667,0.533333,Z,16,L
10.78125,27.4375,0.71875,0.28125,Z,3,L
16.413793,29.034483,0.931034,0.068966,Z,2,L
7.483871,25.483871,0.774194,0.225806,Z,13,L
9.733333,26.633333,0.8,0.2,W,5,L
6.678571,26.928571,0.714286,0.285714,Z,4,L
10.333333,26.666667,0.866667,0.133333,Z,1,L
2.178571,22.75,0.642857,0.357143,Z,16,L
1.741935,24.709677,0.548387,0.451613,Y,16,L
12.37931,24.551724,0.689655,0.310345,W,10,L
10.896552,24.37931,0.827586,0.172414,Y,12,L
5.6,28.066667,0.633333,0.366667,X,4,L
7.642857,24.75,0.75,0.25,Y,7,L
4.103448,25,0.62069,0.37931,Z,7,L
10.821429,27.357143,0.892857,0.107143,W,2,L
1.875,22.9375,0.65625,0.34375,W,15,L
11.4,29.533333,0.833333,0.166667,W,12,L
8.137931,24.655172,0.689655,0.310345,X,3,L
9.333333,26.766667,0.733333,0.266667,Z,10,L
7.607143,29.642857,0.642857,0.357143,W,6,L
3.965517,23.310345,0.689655,0.310345,Z,14,L
14.310345,28.896552,0.896552,0.103448,Y,2,L
5.366667,23.2,0.766667,0.233333,Z,12,L
12.78125,25.71875,0.875,0.125,Y,3,L
5.692308,22.346154,0.730769,0.269231,W,14,L
7.178571,24.785714,0.714286,0.285714,Z,5,L
5.53125,22.25,0.625,0.375,Y,11,L
8.37931,26.310345,0.862069,0.137931,X,9,L
7.821429,26.107143,0.678571,0.321429,W,8,L
8.151515,25.181818,0.69697,0.30303,Y,10,L
16.285714,27.178571,0.964286,0.035714,Y,1,L
13.233333,26.533333,0.966667,0.033333,X,1,L
6.107143,27.678571,0.75,0.25,X,5,L
10.733333,27.6,0.766667,0.233333,W,3,L
6.96875,27.125,0.6875,0.3125,Y,8,L
7.551724,27.551724,0.689655,0.310345,Z,9,L
8.310345,25.517241,0.827586,0.172414,Y,14,L
6.384615,27.192308,0.692308,0.307692,X,14,L
-0.214286,24.285714,0.571429,0.428571,X,16,L
7.290323,23.322581,0.741935,0.258065,Z,11,L
8.241379,25.655172,0.758621,0.241379,X,13,L
7.233333,26.066667,0.766667,0.233333,Y,13,L
0.827586,24.758621,0.586207,0.413793,Z,15,L
9.1,25.733333,0.7,0.3,X,6,L
4.3,23.833333,0.733333,0.266667,X,15,L
13.266667,27.433333,0.866667,0.133333,X,11,L
8.178571,28.5,0.678571,0.321429,Y,4,L
3.2,28.5,0.633333,0.366667,Z,8,L
11.966667,23.733333,0.8,0.2,Y,6,L
8.060606,24.545455,0.69697,0.30303,W,7,L
10.6,25.366667,0.766667,0.233333,X,5,L
1.275862,23.655172,0.551724,0.448276,Z,16,L
10.121212,29.121212,0.818182,0.181818,X,3,L
8.107143,25.535714,0.857143,0.142857,X,4,L
5.129032,21.258065,0.709677,0.290323,Z,14,L
6.285714,26.428571,0.75,0.25,Z,7,L
2.888889,24.481481,0.62963,0.37037,W,15,L
12,25.548387,0.774194,0.225806,Y,7,L
11.862069,27.965517,0.758621,0.241379,Z,2,L
6.545455,24.30303,0.69697,0.30303,W,10,L
0.5625,20.25,0.59375,0.40625,Y,16,L
13.966667,26.533333,0.833333,0.166667,Y,1,L
2.888889,26.259259,0.703704,0.296296,Y,15,L
3.258065,27.064516,0.612903,0.387097,X,16,L
14.133333,26.766667,0.766667,0.233333,Z,4,L
10.310345,27.724138,0.758621,0.241379,W,12,L
8.266667,26.7,0.633333,0.366667,W,5,L
9.896552,27.586207,0.862069,0.137931,W,3,L
17.30303,28.151515,0.969697,0.030303,X,1,L
6.1875,25.65625,0.65625,0.34375,Y,10,L
4.241379,25.241379,0.62069,0.37931,Z,9,L
10.206897,26.931034,0.793103,0.206897,Z,3,L
11.833333,26.5,0.833333,0.166667,Y,2,L
17.903226,26.548387,0.870968,0.129032,W,4,L
4.448276,25.965517,0.689655,0.310345,X,6,L
14.714286,27.714286,0.785714,0.214286,Y,5,L
5.612903,24.193548,0.677419,0.322581,Z,8,L
6.4375,25.5625,0.6875,0.3125,Y,9,L
0.25,23.428571,0.571429,0.428571,W,16,L
7.46875,25.1875,0.59375,0.40625,Z,10,L
7.034483,24.724138,0.793103,0.206897,X,9,L
10.935484,25.967742,0.806452,0.193548,Z,12,L
7,27.896552,0.689655,0.310345,Y,14,L
18.516129,30.451613,0.870968,0.129032,Z,1,W
5.7,26.4,0.666667,0.333333,Z,11,L
-3.137931,25.068966,0.37931,0.62069,Z,16,L
3.83871,24.354839,0.677419,0.322581,Z,13,L
12.387097,27.516129,0.774194,0.225806,Y,3,L
12.241379,27.724138,0.793103,0.206897,X,2,L
9.8125,25.125,0.84375,0.15625,Y,12,L
8.862069,25.448276,0.896552,0.103448,W,8,L
7.642857,23.535714,0.714286,0.285714,X,13,L
9.392857,25.464286,0.714286,0.285714,W,9,L
6.78125,24.96875,0.78125,0.21875,X,7,L
5,22.444444,0.703704,0.296296,X,15,L
4.709677,23.419355,0.741935,0.258065,X,10,L
2.066667,25,0.6,0.4,Y,8,L
10.727273,27.969697,0.818182,0.181818,Y,4,L
8.344828,26.241379,0.655172,0.344828,X,8,L
7.966667,28.233333,0.666667,0.333333,W,6,L
6.258065,27.483871,0.677419,0.322581,X,11,L
3.172414,23.413793,0.724138,0.275862,Z,15,L
2.571429,25.785714,0.642857,0.357143,W,11,L
4.137931,25.931034,0.655172,0.344828,W,13,L
