@relation 'TDR.weka-weka.filters.unsupervised.attribute.Remove-R1-2,4,7-16,21-25,27-28'

@attribute pts.RS numeric
@attribute pt.diff.RS numeric
@attribute fgm.RS numeric
@attribute ft.per.RS numeric
@attribute or.RS numeric
@attribute dr.RS numeric
@attribute tr.RS numeric
@attribute wperc.RS numeric
@attribute seed.num.TS numeric
@attribute champ.TS {L,W}

@data
69.285714,4.285714,24.035714,0.705168,13.571429,23.928571,37.5,0.607143,10,L
85.214286,14.964286,30.321429,0.701154,15.178571,27.642857,42.821429,0.892857,1,L
75.965517,6.793103,27.206897,0.675667,13.689655,23.310345,37,0.62069,10,L
70.1,4.533333,25.7,0.652663,11.933333,22.566667,34.5,0.633333,10,L
69.703704,2,23.555556,0.682295,10.62963,24.222222,34.851852,0.740741,13,L
68.586207,7.655172,24.068966,0.715225,7.827586,20.37931,28.206897,0.827586,12,L
72.451613,8.774194,24.032258,0.753253,10.870968,24.419355,35.290323,0.741935,12,L
79.344828,6.103448,26.62069,0.762741,10.586207,23.275862,33.862069,0.793103,11,L
74.482759,4.724138,27.344828,0.688632,11.241379,24.37931,35.62069,0.724138,8,L
67.321429,5.821429,22.892857,0.685618,12.142857,23.392857,35.535714,0.607143,8,L
75.516129,5.451613,27.193548,0.674698,14.483871,27.967742,42.451613,0.645161,10,L
74,1.333333,26.4,0.697517,10.8,23.466667,34.266667,0.566667,14,L
80.033333,8.633333,29.533333,0.669886,14.766667,27.9,42.666667,0.7,5,L
79.242424,14.909091,28.69697,0.689707,10.878788,23.181818,34.060606,0.878788,6,L
72.793103,6.482759,24.482759,0.712954,13.482759,23.172414,36.655172,0.827586,4,L
81.966667,11.566667,27.366667,0.695481,13.766667,23.1,36.866667,0.8,3,L
79.703704,2.222222,28.074074,0.728469,14,24.037037,38.037037,0.62963,15,L
75.903226,11.225806,26.935484,0.69672,10.806452,24.258065,35.064516,0.774194,2,L
77.064516,8.870968,26.064516,0.717918,11.935484,25.322581,37.258065,0.741935,9,L
69.344828,11.137931,24.206897,0.701101,12.068966,24.310345,36.37931,0.862069,14,L
75.433333,14.033333,27.1,0.719998,9.733333,25.4,35.133333,0.8,4,L
70.53125,3.53125,23.4375,0.704639,11.21875,25.625,36.84375,0.625,7,L
71.25,0.84375,24.4375,0.697934,11.6875,20.90625,32.59375,0.59375,16,L
81.333333,14.966667,30.233333,0.661631,14.3,26.9,41.2,0.766667,2,L
77.53125,13.4375,28.46875,0.709655,12.875,24.15625,37.03125,0.90625,1,L
81.833333,13.366667,27.966667,0.690997,13.2,25.1,38.3,0.8,4,L
73.225806,10.322581,26.806452,0.643664,10.612903,24.516129,35.129032,0.677419,8,L
76.172414,8.413793,25.931034,0.788438,11.310345,23.310345,34.62069,0.793103,14,L
78.392857,10.714286,27.214286,0.778503,13.107143,24.071429,37.178571,0.821429,3,L
80.785714,13.928571,29.428571,0.688594,13.75,26.75,40.5,0.678571,6,L
74.517241,8.689655,26.275862,0.628299,14.068966,25.965517,40.034483,0.793103,7,L
67.225806,6.258065,23.032258,0.714909,10.677419,24.258065,34.935484,0.612903,7,L
70.166667,10,26.333333,0.666941,12.666667,24.6,37.266667,0.7,5,L
71.774194,5.290323,26.16129,0.65014,13.483871,25.903226,39.387097,0.677419,6,L
72.4,4.4,24.333333,0.778148,9.733333,22.033333,31.766667,0.6,9,L
80.096774,8.903226,27.225806,0.74136,11.387097,26.870968,38.258065,0.709677,5,L
71.166667,11,25.266667,0.714351,12.133333,24.966667,37.1,0.8,1,L
68.724138,6.517241,24.655172,0.649847,12.37931,24.068966,36.448276,0.689655,6,L
82.21875,8.25,28.59375,0.779248,11.375,24.5,35.875,0.71875,8,L
70.185185,10.777778,24,0.686697,9.333333,24.185185,33.518519,0.814815,11,L
74.6,15.766667,26.866667,0.639841,11.3,25.366667,36.666667,0.866667,2,L
71.75,6.5,23.75,0.747358,10.392857,23.464286,33.857143,0.642857,9,L
72.8,1.533333,24.8,0.696709,12.966667,24.266667,37.233333,0.666667,16,L
74.533333,6.433333,27.366667,0.699394,10.833333,22.466667,33.3,0.8,11,L
71.777778,6.518519,24.296296,0.699858,10.777778,25.962963,36.740741,0.777778,15,L
74.678571,3.107143,25.214286,0.65705,11.535714,26.357143,37.892857,0.607143,13,L
70.62069,11.344828,24.241379,0.67355,11.172414,24.137931,35.310345,0.793103,7,L
72.258065,5.290323,25.645161,0.671516,13.741935,25.129032,38.870968,0.741935,4,L
80.103448,10.206897,29.241379,0.687824,14.310345,26.896552,41.206897,0.827586,3,W
78.857143,10.178571,28,0.715642,16.178571,26.142857,42.321429,0.785714,1,L
79.366667,8.8,28.233333,0.684374,15.066667,24.7,39.766667,0.833333,14,L
73.516129,8.258065,26.387097,0.729672,11.16129,25.806452,36.967742,0.709677,13,L
72.8,1.966667,24.733333,0.613745,13.166667,24.8,37.966667,0.6,16,L
71.206897,-7.241379,24.37931,0.766142,12.275862,23.172414,35.448276,0.448276,16,L
71.366667,11.766667,26.033333,0.674932,9.966667,23.133333,33.1,0.8,11,L
66.733333,6.733333,23.166667,0.689024,10.133333,23.2,33.333333,0.766667,9,L
65.966667,5.866667,23.7,0.707349,12.633333,22.366667,35,0.733333,15,L
67.793103,4.655172,24.827586,0.649708,12.965517,25.724138,38.689655,0.655172,16,L
73.096774,6.677419,25.709677,0.660899,12.16129,23.258065,35.419355,0.741935,13,L
75.548387,4.096774,27.225806,0.723838,12,22.354839,34.354839,0.677419,15,L
78.413793,10.793103,26.137931,0.75533,14.758621,26.931034,41.689655,0.827586,2,L
74.206897,7.034483,24.62069,0.733961,10.344828,22.758621,33.103448,0.862069,12,L
77.1,7.166667,27.266667,0.686253,11.533333,23,34.533333,0.766667,12,L
